,v₃₀,v₃₀±₁,v₃₀±₂,v₃₀±₃,v₃₀±₄,v₃₀±₅,va₃₀,va₃₀±₅,vaᵢₙ,vaᵢₙ±,vᵢₙ,vᵢₙ±
s₃₀,0.9354838709677419,0.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.0,0.0,0.0,0.0,0.0
s₃₀±₁,0.40625,0.40625,0.03125,0.0,0.0,0.0,0.15625,0.0,0.0,0.0,0.0,0.0
s₃₀±₂,0.2647058823529412,0.0,0.5294117647058824,0.0,0.0,0.0,0.17647058823529413,0.029411764705882353,0.0,0.0,0.0,0.0
s₃₀±₃,0.12903225806451613,0.0,0.0,0.6129032258064516,0.0,0.06451612903225806,0.16129032258064516,0.03225806451612903,0.0,0.0,0.0,0.0
s₃₀±₄,0.0625,0.0,0.0,0.0,0.59375,0.21875,0.0625,0.0625,0.0,0.0,0.0,0.0
s₃₀±₅,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
sᵢₙ,0.4716981132075472,0.0,0.0,0.0,0.018867924528301886,0.0,0.3584905660377358,0.018867924528301886,0.03773584905660377,0.018867924528301886,0.03773584905660377,0.03773584905660377
