,v₃₀,v₃₀±₁,v₃₀±₂,v₃₀±₃,v₃₀±₄,v₃₀±₅,va₃₀,va₃₀±₅,vaᵢₙ,vaᵢₙ±,vᵢₙ,vᵢₙ±
s₃₀,29,0,0,0,0,0,2,0,0,0,0,0
s₃₀±₁,13,13,1,0,0,0,5,0,0,0,0,0
s₃₀±₂,9,0,18,0,0,0,6,1,0,0,0,0
s₃₀±₃,4,0,0,19,0,2,5,1,0,0,0,0
s₃₀±₄,2,0,0,0,19,7,2,2,0,0,0,0
s₃₀±₅,0,0,0,0,0,31,0,0,0,0,0,0
sᵢₙ,25,0,0,0,1,0,19,1,2,1,2,2
