,v₃₀,v₃₀±₁,v₃₀±₂,v₃₀±₃,v₃₀±₄,v₃₀±₅,va₃₀,va₃₀±₅,vaᵢₙ,vaᵢₙ±,vᵢₙ,vᵢₙ±
s₃₀,0.9666666666666667,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0
s₃₀±₁,0.18518518518518517,0.7777777777777778,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0
s₃₀±₂,0.07407407407407407,0.0,0.8148148148148148,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0
s₃₀±₃,0.15151515151515152,0.0,0.0,0.7272727272727273,0.0,0.030303030303030304,0.06060606060606061,0.030303030303030304,0.0,0.0,0.0,0.0
s₃₀±₄,0.0,0.0,0.0,0.0,0.75,0.17857142857142858,0.0,0.07142857142857142,0.0,0.0,0.0,0.0
s₃₀±₅,0.0,0.0,0.0,0.03333333333333333,0.0,0.9,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,0.0
sᵢₙ,0.30357142857142855,0.0,0.0,0.0,0.0,0.017857142857142856,0.39285714285714285,0.0,0.0,0.05357142857142857,0.16071428571428573,0.07142857142857142
