id,session,sid,context,state,answer,stateC,answerC,appxC,Precision,Accuracy,Info lack,Misinfo,Safe,H needs,Context,S ease,H ease,Habit,Sound,Other,motive
1070,1,70,neighbor,at 8:26,eight thirty,4,0,0,x,,,,,x,,x,,,,,"It's the easiest thing to say, I didn't think you'd have to be so specific down to the minute."
1072,1,72,police,at 8:30,8.30,0,0,0,,,,,,,,,,,,0,That was how I read the time on the clock. I could have answered half past 8 but that wasn't how I read it in my mind when I saw the clock.
1073,1,73,police,at 8:28,28 minutes past 8,2,2,0,,,,,,,,,,x,,,This is how I would normally answer
1075,1,75,police,8:26-8:34,8:30,8,0,0,,,,,,,,,,,,0,Because 8:30 is more focused on the clock
1076,1,76,neighbor,at 8:30,8:30,0,0,0,,,,,,,,,,,,0,Because that's when it happened.
1077,1,77,neighbor,at 8:32,eight thirty,2,0,0,x,,,,,,x,,,,,,I think that this is an appropriate level of detail given the converstation
1078,1,78,neighbor,at 8:34,08:35,4,5,0,,,,,,,,,,,,X,
1079,1,79,neighbor,8:26-8:34,8.30,8,0,0,,,,,,,,,,,,0,This is the midpoint of the range
1080,1,80,police,at 8:30,8.30am,0,0,0,,,,,,,,,,,,0,"Not only is that the usual time I would leave my house to get to work for 9am but there was also a clock next to the information with 8.30 on, so I thought it would make sense."
1081,1,81,police,at 8:28,8:28,2,2,0,,,,,,x,,,,,,,"Because it was short, contained all the information asked for, and none of the information not asked for."
1082,1,82,police,at 8:26,9:26,4,4,0,,,,,,,,,,,,X,Because I didn't properly read the clock
1083,1,83,police,8:26-8:34,around half past eight this morning,8,10,around,,,x,,,,,,,x,,,"I didn't know precisely when it happened, just that it was a bit before or after half past eight and that is the way I would usually speak"
1084,1,84,neighbor,at 8:30,eight thirty,0,0,0,,,,,,,,,,x,,,its the way i talk
1086,1,86,neighbor,at 8:34,25 to 9,4,5,0,x,,,,,,x,,,x,,,"Since it was asked in an informal setting at a party, I would not state the exact time. Rounding off is just the way it is done in my experience."
1087,1,87,neighbor,8:26-8:34,8.30,8,0,0,,x,,,,,,,,,,,It was what came to mind first as it was in the middle and more accurate
1088,1,88,police,at 8:30,8:30,0,0,0,,,,,,,,,,,,0,"Because the clock on the left read as ""8:30"""
1089,1,89,police,at 8:32,just gone 8.30,2,10,just before/after,,,,,,,,,,x,,,8.32 isn't the way that people normally speak. I used slang that means between 8.30 and 8.35
1091,1,91,police,8:26-8:34,approximately 8:30,8,10,approximately,x,,,x,,,,,,,,,An approximate answer does not have to be exact. My watch or another persons clock may be off by a couple of minutes. 
1092,1,92,neighbor,at 8:30,half past eight,0,0,0,,,,,,,,,,,,0,because thats what the clock said
